id,image_id,question,relevant_articles,question_type,choices,answer,file_name
train_11,train_1_12,Biển báo với hình mũi tên chỉ hướng đi thẳng và rẽ trái áp dụng cho các phương tiện tham gia giao thông trong trường hợp nào?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '32'}]",Multiple choice,"{'A': 'Biển áp dụng khi người tham gia giao thông phải đi thẳng hoặc rẽ trái, không được phép rẽ phải.', 'B': 'Biển này chỉ áp dụng cho xe ô tô, không áp dụng cho xe máy.', 'C': 'Biển này chỉ cho phép đi thẳng, không cho phép rẽ trái.', 'D': 'Biển này yêu cầu các phương tiện phải đi thẳng hoặc rẽ trái tại giao lộ và không áp dụng cho xe tải.'}",A,train_1_12.jpg
train_12,train_1_6,"Biển báo giới hạn tốc độ ""50"" yêu cầu người tham gia giao thông tuân thủ như thế nào?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '21'}]",Multiple choice,"{'A': 'Người tham gia giao thông chỉ cần giảm tốc độ khi đi vào khu dân cư.', 'B': 'Tốc độ tối đa được phép là 50 km/h, nhưng có thể tăng lên khi không có phương tiện khác.', 'C': 'Người tham gia giao thông phải duy trì tốc độ không vượt quá 50 km/h trong suốt đoạn đường có biển.', 'D': 'Tốc độ tối đa là 50 km/h trong khu vực trường học và bệnh viện, nhưng có thể tăng tốc khi không có biển phụ.'}",C,train_1_6.jpg
train_13,train_1_6,Biển báo cấm xe 3 bánh và 4 bánh thô sơ yêu cầu gì đối với người tham gia giao thông?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '26'}]",Multiple choice,"{'A': 'Cấm tất cả các loại xe thô sơ, bao gồm xe đạp và xe máy.', 'B': 'Cấm các phương tiện xe 3 bánh và 4 bánh thô sơ, nhưng cho phép xe máy và xe ô tô con lưu thông.', 'C': 'Cấm các phương tiện xe 3 bánh và 4 bánh thô sơ lưu thông vào khu vực có biển báo, nhưng không ảnh hưởng đến xe ô tô tải.', 'D': 'Cấm xe 3 bánh và 4 bánh thô sơ, nhưng xe tải vẫn được phép lưu thông.'}",B,train_1_6.jpg
train_14,train_1_17,"Biển báo với các giới hạn tốc độ khác nhau (có số 80,90) dành cho xe ô tô con và xe tải có yêu cầu gì đối với người tham gia giao thông?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '21'}]",Multiple choice,"{'A': 'Tất cả các phương tiện đều phải tuân thủ tốc độ tối đa là 90 km/h trên đoạn đường này.', 'B': 'Xe ô tô con có thể di chuyển với tốc độ tối đa là 90 km/h, trong khi xe tải bị giới hạn ở 80 km/h.', 'C': 'Xe tải và ô tô con đều phải di chuyển với tốc độ tối đa là 80 km/h.', 'D': 'Xe ô tô con có thể di chuyển với tốc độ tối đa là 80 km/h, trong khi xe tải phải di chuyển với tốc độ tối đa là 90 km/h.'}",B,train_1_17.jpg
train_15,train_1_17,"Giả sử một xe ô tô con và một xe tải di chuyển cùng lúc trên đoạn đường có biển báo có số 80,90 này. Xe ô tô con di chuyển với tốc độ 95 km/h và xe tải di chuyển với tốc độ 85 km/h. Xe nào sẽ bị phạt, và lý do tại sao?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '21'}]",Multiple choice,"{'A': 'Cả hai xe đều bị phạt vì vượt quá giới hạn tốc độ.', 'B': 'Chỉ xe ô tô con bị phạt vì vượt quá tốc độ 90 km/h.', 'C': 'Chỉ xe tải bị phạt vì vượt quá giới hạn tốc độ 80 km/h.', 'D': 'Cả hai xe đều bị phạt vì đều vượt quá giới hạn tốc độ.'}",D,train_1_17.jpg
train_16,train_1_11,Biển báo cấm có nền xanh này cấm điều gì đối với các phương tiện tham gia giao thông?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '26'}]",Multiple choice,"{'A': 'Cấm tất cả các phương tiện dừng và đỗ xe.', 'B': 'Cấm xe ô tô con dừng và đỗ xe.', 'C': ' Cấm xe tải dừng và đỗ xe tại vị trí có biển báo.', 'D': 'Cấm tất cả các phương tiện dừng và đỗ xe, đặc biệt là xe ba bánh và bốn bánh thô sơ.'}",A,train_1_11.jpg
train_17,train_1_11,"Biển báo cấm có hình 2 ô tô chỉ ra rằng các phương tiện có thể vượt nhau trong khu vực có biển báo này.
Đúng hay sai?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}]",Yes/No,,Sai,train_1_11.jpg
train_18,train_1_2,"Biển báo cấm hình tròn này cấm tất cả các loại phương tiện quay đầu xe tại khu vực có biển báo này.
Đúng hay sai?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '26'}]",Yes/No,,Đúng,train_1_2.jpg
train_19,train_1_9,"Biển báo này yêu cầu tất cả phương tiện không được phép lưu thông vào khu vực có biển báo.
Đúng hay sai?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '26'}]",Yes/No,,Đúng,train_1_9.jpg
train_20,train_1_11,Biển báo có nền xanh.Đây là biển báo gì?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '26'}]",Multiple choice,"{'A': 'Biển báo ""Cấm quay đầu xe"".', 'B': 'Biển báo ""Cấm dừng và đỗ xe"".', 'C': 'Biển báo ""Cấm xe ba bánh và bốn bánh thô sơ"".', 'D': 'Biển báo ""Cấm xe ô tô con"".'}",B,train_1_11.jpg
train_21,train_1_11,"Nếu một xe tải và một xe ô tô con dừng đỗ ở khu vực có biển báo cấm có nền xanh này, cả hai xe đều không có lý do khẩn cấp. Vậy, xe nào sẽ bị phạt và tại sao?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '26'}]",Multiple choice,"{'A': 'Cả hai xe đều bị phạt vì vi phạm quy định cấm đỗ xe.', 'B': 'Chỉ xe ô tô con bị phạt vì xe tải có thể đỗ nếu có biển phụ.', 'C': 'Chỉ xe tải bị phạt vì biển báo này chỉ áp dụng cho xe ô tô con.', 'D': 'Cả hai xe không bị phạt vì biển báo này chỉ là cảnh báo, không có hiệu lực pháp lý.'}",A,train_1_11.jpg
train_22,train_1_11,Biển báo có nền trắng và hình 2 chiếc ô tô yêu cầu người tham gia giao thông bằng xe ô tô làm gì khi gặp biển này?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '26'}]",Multiple choice,"{'A': 'Người tham gia giao thông được phép vượt bất kỳ phương tiện nào trong khu vực có biển báo này.', 'B': 'Người tham gia giao thông được phép vượt phương tiện khác trong khu vực có biển báo này, nhưng chỉ khi không có xe phía sau.', 'C': 'Biển báo này chỉ áp dụng cho xe tải và xe khách, không áp dụng cho xe con.', 'D': 'Người tham gia giao thông có thể vượt phương tiện khác nếu tốc độ của mình cao hơn.'}",A,train_1_11.jpg
train_23,train_1_2,"Biển báo có hình trong và dấu ""quay ngược lại"" yêu cầu người tham gia giao thông làm gì khi gặp biển này?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '26'}]",Multiple choice,"{'A': 'Người tham gia giao thông được phép quay đầu xe nếu không có phương tiện nào khác đang lưu thông.', 'B': 'Biển báo này chỉ cấm xe ô tô quay đầu, nhưng xe máy có thể quay đầu nếu cần thiết.', 'C': 'Người tham gia giao thông không được phép quay đầu xe tại khu vực có biển báo này.', 'D': 'Biển báo này chỉ áp dụng cho xe tải và không ảnh hưởng đến các phương tiện khác.'}",C,train_1_2.jpg
train_24,train_1_9,Biển báo này yêu cầu người tham gia giao thông làm gì khi gặp biển báo này?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '26'}]",Multiple choice,"{'A': 'Cấm tất cả các phương tiện không được phép đi vào khu vực có biển báo.', 'B': 'Chỉ cấm xe ô tô lưu thông vào khu vực có biển báo, xe máy vẫn được phép đi vào.', 'C': 'Biển báo này chỉ áp dụng cho xe tải và không ảnh hưởng đến xe ô tô con.', 'D': 'Cấm tất cả các phương tiện, bao gồm cả người đi bộ, vào khu vực có biển báo.'}",A,train_1_9.jpg
train_25,train_1_20,Biển báo hình tròn viền đỏ nền xanh có hiệu lực cấm dừng và đỗ xe trong phạm vi bao nhiêu mét?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '26'}]",Multiple choice,"{'A': ' 200m', 'B': '300m', 'C': '500m', 'D': '1km'}",B,train_1_20.jpg
train_26,train_1_7,Biển báo này yêu cầu giới hạn tốc độ như thế nào đối với các phương tiện tham gia giao thông?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '21'}]",Multiple choice,"{'A': 'Tốc độ tối đa là 90 km/h đối với tất cả các phương tiện.', 'B': 'Tốc độ tối đa là 90 km/h đối với xe ô tô con và 60 km/h đối với xe tải.', 'C': 'Tốc độ tối đa là 60 km/h đối với tất cả các phương tiện.', 'D': 'Tốc độ tối đa là 90 km/h đối với xe tải và 60 km/h đối với xe ô tô con.'}",A,train_1_7.jpg
train_27,train_1_20,"Biển báo hình tròn viền đỏ nền xanh chỉ áp dụng cho xe ô tô con, không áp dụng cho xe máy.
Đúng hay sai?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '26'}]",Yes/No,,Sai,train_1_20.jpg
train_28,train_1_7,"Biển báo này yêu cầu tất cả các phương tiện tham gia giao thông di chuyển với tốc độ tối đa 90 km/h.
Đúng hay sai?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '21'}]",Yes/No,,Đúng,train_1_7.jpg
train_29,train_1_14,"Biển báo hình tròn nền xanh này yêu cầu tất cả các phương tiện tham gia giao thông phải quẹo phải tại giao lộ có biển báo.
Đúng hay sai?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '32'}]",Yes/No,,Đúng,train_1_14.jpg
train_30,train_1_14,Biển báo hình tròn nền xanh này yêu cầu người tham gia giao thông làm gì khi gặp biển báo này?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '32'}]",Multiple choice,"{'A': 'Người tham gia giao thông phải quay đầu xe theo hướng biển báo chỉ dẫn.', 'B': 'Người tham gia giao thông phải quẹo phải tại giao lộ, không được phép đi thẳng.', 'C': 'Biển báo này chỉ áp dụng cho xe ô tô, không áp dụng cho xe máy.', 'D': 'Người tham gia giao thông có thể đi thẳng hoặc quẹo phải, tùy vào tình huống.'}",B,train_1_14.jpg
train_31,train_1_10,Biển báo hình tròn nền xanh này yêu cầu người tham gia giao thông làm gì khi gặp biển báo này?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '32'}]",Multiple choice,"{'A': 'Người tham gia giao thông phải quay đầu xe tại giao lộ có biển báo.', 'B': 'Người tham gia giao thông không được phép quay đầu xe tại giao lộ có biển báo.', 'C': 'Biển báo này chỉ áp dụng cho xe ô tô, không áp dụng cho xe máy.', 'D': 'Người tham gia giao thông có thể quay đầu xe, nhưng chỉ được phép khi không có phương tiện nào khác.'}",A,train_1_10.jpg
train_32,train_1_23,Biển báo tam giác viền đỏ nền vàng yêu cầu người tham gia giao thông làm gì khi gặp biển báo này?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '28'}]",Multiple choice,"{'A': 'Người tham gia giao thông phải giảm tốc độ và chuẩn bị dừng lại khi cần thiết tại giao lộ.', 'B': 'Người tham gia giao thông có thể di chuyển bình thường mà không cần giảm tốc độ.', 'C': 'Người tham gia giao thông chỉ cần dừng lại khi có biển báo phụ ghi rõ.', 'D': 'Biển báo này yêu cầu người tham gia giao thông rẽ phải.'}",A,train_1_23.jpg
train_33,train_1_16,Biển báo hình chữ nhật nền xanh này yêu cầu phương tiện tham gia giao thông phải sử dụng các làn đường như thế nào?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '28'}]",Multiple choice,"{'A': ' Xe ô tô chỉ được phép di chuyển ở làn đường dành riêng cho ô tô và xe tải.\n', 'B': 'Xe máy, xe đạp, và xe 02 bánh khác phải sử dụng làn đường dành riêng cho chúng, không được phép di chuyển trên làn đường dành cho xe ô tô.', 'C': 'Xe ô tô và xe tải có thể di chuyển ở tất cả các làn đường, không có hạn chế.', 'D': ' Xe 02 bánh và xe ô tô phải chia sẻ các làn đường dành cho cả hai loại phương tiện.'}",B,train_1_16.jpg
train_34,train_1_16,Biển hình chữ nhật nền xanh này chỉ ra xe 2 bánh có thể đi những lane đường nào?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '28'}]",Multiple choice,"{'A': 'Lane trái, lane phải ', 'B': 'Lane phải, lane giữa', 'C': 'lane trái, lane giữa', 'D': 'lane phải'}",B,train_1_16.jpg
train_35,train_1_16,Biển báo hình chữ nhật nền xanh  này chỉ ra xe ô tô có thể đi những lane đường nào?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '28'}]",Multiple choice,"{'A': 'Lane trái, lane phải ', 'B': 'Lane phải, lane giữa', 'C': 'lane trái, lane giữa', 'D': 'lane phải'}",C,train_1_16.jpg
train_36,train_1_16,Biển báo hình chữ nhật nền xanh này chỉ ra xe tải có thể đi những lane đường nào?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '28'}]",Multiple choice,"{'A': 'Lane trái, lane phải ', 'B': 'Lane phải, lane giữa', 'C': 'lane trái, lane giữa', 'D': 'lane trái'}",D,train_1_16.jpg
train_37,train_1_10,"Biển báo hình tròn nền xanh này yêu cầu các phương tiện được phép quay đầu tại vị trí có biển báo này.
Đúng hay sai?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '32'}]",Yes/No,,Đúng,train_1_10.jpg
train_38,train_1_23,"Biển báo tam giác viền đỏ nền vàng này cảnh báo người tham gia giao thông về một khu vực có giao lộ.
Đúng hay sai?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '28'}]",Yes/No,,Đúng,train_1_23.jpg
train_39,train_1_16,"Biển báo hình chữ nhật nền xanh này yêu cầu xe ô tô và xe tải không được phép di chuyển trên làn đường dành cho xe 02 bánh.
Đúng hay sai?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '28'}]",Yes/No,,Đúng,train_1_16.jpg
train_40,train_1_21,"Trong khoảng thời gian từ 6:00 đến 9:00 và từ 16:30 đến 19:30, xe nào không được phép lưu thông trên đoạn đường này khi gặp biển hình tròn có hình xe máy?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '11'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.3'}]",Multiple choice,"{'A': 'Xe máy ', 'B': 'Ô tô con', 'C': 'Xe khách', 'D': 'Xe tải '}",A,train_1_21.jpg
train_41,train_1_21,"Biển báo ""10t"" có ý nghĩa gì và loại xe nào bị hạn chế lưu thông trên đoạn đường này?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '11'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.16'}]",Multiple choice,"{'A': 'Xe có trọng lượng trên 10 tấn không được phép lưu thông.', 'B': 'Xe có trọng lượng dưới 10 tấn không được phép lưu thông.', 'C': 'Xe ô tô con không được phép lưu thông.', 'D': 'Tất cả các loại xe đều được phép lưu thông.'}",A,train_1_21.jpg
train_42,train_1_21,"Biển báo ""10t"" yêu cầu phương tiện nào không được phép lưu thông trên đoạn đường này?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '11'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.15'}]",Multiple choice,"{'A': 'Xe tải có trọng lượng trên 10 tấn', 'B': 'Xe ô tô con  ', 'C': 'Xe máy', 'D': 'Xe khách'}",A,train_1_21.jpg
train_43,train_1_21,"Biển báo ""người tham gia giao thông không được phép đi bộ"" yêu cầu gì?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '11'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.12'}]",Multiple choice,"{'A': 'Người đi bộ bị cấm đi trên đoạn đường này.', 'B': 'Xe ô tô bị cấm đi trên đoạn đường này.', 'C': 'Xe máy bị cấm đi trên đoạn đường này.', 'D': 'Xe đạp bị cấm đi trên đoạn đường này.'}",A,train_1_21.jpg
train_44,train_1_21,"Biển báo ""Cấm xe đạp"" yêu cầu cấm phương tiện nào lưu thông trên đoạn đường này?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '11'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.10'}]",Multiple choice,"{'A': ' Cấm xe máy', 'B': 'Cấm ô tô', 'C': 'Cấm xe đạp', 'D': 'Cấm xe tải'}",C,train_1_21.jpg
train_45,train_1_21,Biển báo có số 3.3m. Câu nào đúng nói về biển báo này?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '11'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.18'}]",Multiple choice,"{'A': 'Tất cả các phương tiện có chiều cao trên 3,3m đều bị cấm.', 'B': 'Xe ô tô con có chiều cao trên 3,3m được phép đi qua.', 'C': 'Xe tải có chiều cao trên 3,3m không được phép đi qua.', 'D': 'Xe máy có chiều cao trên 3,3m không bị cấm.\n\n'}",C,train_1_21.jpg
train_46,train_1_21,Biển báo có hình xe 3 bánh và xe khách yêu cầu phương tiện nào không được phép lưu thông trên đoạn đường này?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '11'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.7'}]",Multiple choice,"{'A': 'Xe khách và xe tải bị cấm lưu thông.', 'B': 'Xe máy bị cấm lưu thông.', 'C': 'Xe ô tô con bị cấm lưu thông.', 'D': 'Xe đạp bị cấm lưu thông.'}",A,train_1_21.jpg
train_47,train_1_21,Xe máy có được phép lưu thông trên đoạn đường này vào các khung giờ từ 6:00 đến 9:00 và từ 16:30 đến 19:30 đúng hay sai?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '11'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.11'}]",Yes/No,,Sai,train_1_21.jpg
train_48,train_1_21,Biển báo có hình người đi bộ này yêu cầu người đi bộ không được phép lưu thông trên đoạn đường này. Câu này đúng hay sai?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '11'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.12'}]",Yes/No,,Đúng,train_1_21.jpg
train_49,train_1_21,"Biển báo này yêu cầu các phương tiện giao thông có chiều cao vượt quá 3,3m không được phép lưu thông. Câu này đúng hay sai?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '11'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.18'}]",Yes/No,,Đúng,train_1_21.jpg
train_50,train_1_21,"Biển báo ""cấm đi ngược chiều"" yêu cầu phương tiện nào không được phép lưu thông trên đoạn đường này?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '11'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'B.1'}]",Multiple choice,"{'A': 'Ô tô', 'B': 'Xe máy', 'C': 'Tất cả các loại phương tiện', 'D': 'Xe đạp'}",C,train_1_21.jpg
train_51,train_1_5,Biển báo này chỉ dẫn đường đi đến những điểm nào?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'E.14'}]",Multiple choice,"{'A': 'Sân bay Trà Nóc, Trung tâm TP. Cần Thơ, Sóc Trăng.', 'B': 'Sân bay Trà Nóc, Trung tâm TP. Cần Thơ, Sóc Trăng, Phú Quốc.', 'C': 'Sân bay Trà Nóc, Sóc Trăng, TP. Cần Thơ.', 'D': 'TP. Cần Thơ, Sân bay Trà Nóc.'}",A,train_1_5.jpg
train_52,train_1_4,Biển báo này chỉ dẫn các điểm đến nào và theo hướng nào?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'E.14'}]",Multiple choice,"{'A': 'Hải Dương, Mỹ Hào, Hưng Yên.', 'B': 'Hải Dương, Hưng Yên, Mỹ Hào.', 'C': 'Hải Dương, Mỹ Hào, Hưng Yên, Hà Nội.', 'D': 'Hưng Yên, Hải Dương, Mỹ Hào.'}",A,train_1_4.jpg
train_53,train_1_22,Biển báo này chỉ dẫn điều gì về khu vực phía trước?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'D.17'}]",Multiple choice,"{'A': 'Khu vực có khu dân cư.', 'B': 'Khu vực gần khu công nghiệp.', 'C': 'Khu vực đô thị.', 'D': 'Khu vực ngoại thành.'}",A,train_1_22.jpg
train_54,train_1_22,"Khi gặp biển báo này, giới hạn tốc độ cho ô tô là bao nhiêu khi có dải phân cách?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'D.17'}]",Multiple choice,"{'A': '60 km/h', 'B': '50 km/h', 'C': '80 km/h', 'D': '100 km/h'}",A,train_1_22.jpg
train_55,train_1_22,"Khi gặp biển báo này, giới hạn tốc độ cho ô tô là bao nhiêu khi không có dải phân cách?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'D.17'}]",Multiple choice,"{'A': '50 km/h', 'B': '40 km/h', 'C': '60 km/h', 'D': '80 km/h'}",A,train_1_22.jpg
train_56,train_1_22,"Khi gặp biển báo này, giới hạn tốc độ cho xe máy là bao nhiêu khi có dải phân cách ?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'D.17'}]",Multiple choice,"{'A': '40 km/h', 'B': '50 km/h', 'C': '60 km/h', 'D': '70 km/h'}",B,train_1_22.jpg
train_57,train_1_15,Biển báo này yêu cầu giới hạn tốc độ cho ô tô là 100 km/h khi có dải phân cách và 80 km/h khi không có dải phân cách. Câu này đúng hay sai?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'D.18'}]",Yes/No,,Sai,train_1_15.jpg
train_58,train_1_22,"Khi gặp biển báo này, giới hạn tốc độ cho xe máy là bao nhiêu khi không có dải phân cách?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': 'D.17'}]",Multiple choice,"{'A': '30 km/h', 'B': '40 km/h', 'C': '50 km/h', 'D': '60 km/h'}",B,train_1_22.jpg
